date;open ;high;low ;close ;volume ;marcap
1;757.54;781.30;757.54;777.94;127605000;12462935160
2;778.25;778.25;764.86;771.16;69547296;12355811709
3;771.64;773.87;768.16;773.87;60557900;12400766376
4;773.39;773.47;751.71;758.70;106363000;12159115875
5;758.72;765.62;758.72;764.22;116218000;12249086971
6;764.21;771.54;759.75;768.13;96426096;12313376414
7;768.08;774.70;765.95;770.81;80111904;12357837893
8;769.94;774.53;769.65;772.79;68705296;12390863077
9;773.02;777.09;772.91;774.65;53843100;12421967470
10;774.75;774.80;765.41;769.73;57313400;12344888048
11;770.04;781.92;770.04;780.09;76571000;12512497969
12;780.65;788.46;777.96;780.56;81645600;12521776922
13;780.01;782.03;776.84;781.48;75979000;12534369129
14;780.07;781.43;777.80;778.09;81580096;12484761985
15;778.96;785.03;778.96;784.91;83608200;12595490539
16;785.17;792.51;784.86;790.83;78989800;12691945028
17;791.01;794.74;788.03;790.53;60524400;12688510068
18;790.69;793.61;790.32;792.71;74886400;12725090633
19;792.25;801.34;791.50;800.88;99629296;12857473134
20;800.64;834.28;799.41;834.28;155576000;13395445163
21;834.18;875.78;834.15;864.54;200027008;13882988216
22;864.89;925.12;864.68;921.98;275564000;14807189352
23;922.18;923.48;886.34;898.82;137727008;14436754927
24;899.65;899.65;862.42;896.18;143664992;14396194094
25;896.91;913.18;896.90;907.61;123771000;14581389977
26;908.35;940.05;904.26;933.20;167308000;14994286713
27;934.83;975.92;934.83;975.92;236630000;15682769405
28;975.13;979.40;954.50;973.50;199320000;15645617392
29;972.53;972.53;934.83;961.24;187474000;15450507055
30;960.63;963.74;947.24;963.74;99135104;15492554222
31;963.66;1003.08;958.70;998.33;147775008;16050407461
32;998.62;1031.39;996.70;1021.75;222184992;16429024775
33;1021.60;1044.08;1021.60;1043.84;185168000;16786368910
34;1044.40;1159.42;1044.40;1154.73;344945984;18571869009
35;1156.73;1191.10;910.42;1013.38;510199008;16300254795
36;1014.24;1046.81;883.94;902.20;351876000;14513695758
37;903.49;908.59;823.56;908.59;279550016;14618030536
38;908.17;942.72;887.25;911.20;158715008;14661966429
39;913.24;913.69;879.81;902.83;141876992;14528815565
40;902.44;914.87;901.06;907.68;115808000;14608685049
41;908.11;919.45;762.77;777.76;310928992;12519135996
42;775.18;826.25;755.76;804.83;222326000;12956730411
43;803.74;829.00;780.00;823.98;168968000;13266554392
44;825.14;835.09;812.46;818.41;93063296;13178601992
45;818.14;823.31;812.87;821.80;71013600;13234840657
46;821.78;834.53;820.27;831.53;82755200;13393372620
47;830.95;910.56;830.80;907.94;155095008;14625779851
48;909.37;917.50;858.30;886.62;225676992;14284036613
49;888.34;904.61;884.34;899.07;105625000;14486616700
50;898.17;899.40;887.01;895.03;86728400;14423545371
51;895.55;927.37;895.53;921.79;111158000;14856911163
52;922.21;937.53;897.56;924.67;116573000;14905439337
53;925.50;928.27;916.74;921.01;73588600;14848013909
54;910.68;924.15;892.29;892.69;111349000;14393026385
55;891.92;903.25;891.69;901.54;120831000;14537488261
56;902.40;919.33;902.22;917.59;131958000;14797955301
57;918.36;923.22;915.85;919.75;125594000;14834831700
58;919.81;923.91;919.81;921.59;68979600;14866260449
59;922.07;923.42;919.15;919.50;60851700;14834377926
60;920.15;923.05;919.47;920.38;78227296;14850351605
61;920.96;972.02;920.96;970.40;164582000;15659186515
62;970.94;989.11;970.74;989.02;150110000;15962015276
63;990.00;1013.52;983.22;1011.80;145820992;16331615570
64;1011.46;1033.87;1008.79;1029.91;201278000;16625849489
65;1031.33;1045.90;1015.16;1042.90;155064000;16837411920
66;1043.52;1043.63;1022.37;1027.34;114208000;16588240157
67;1028.40;1044.64;1028.16;1038.15;111762000;16764422010
68;1040.14;1061.93;1040.14;1061.35;146007008;17141080574
69;1062.32;1078.97;1037.49;1063.07;201855008;17170799127
70;1064.70;1088.99;953.34;994.38;407220000;16063448932
71;995.63;998.91;946.69;988.67;190452000;15973053725
72;988.90;1009.29;982.83;1004.45;102261000;16229677099
73;1003.52;1004.76;996.92;999.18;67530000;16146290349
74;998.89;1002.10;976.00;990.64;100607000;16010322103
75;991.73;1011.51;986.47;1004.55;137946000;16237219721
76;1006.21;1008.84;1001.58;1007.48;89759400;16286329282
77;1007.65;1033.37;1007.65;1027.44;122277000;16610905026
78;1026.12;1053.17;1025.64;1046.21;136474000;16916338976
79;1049.21;1061.10;1046.96;1054.42;99073504;17051064834
80;1054.76;1056.81;1043.46;1047.87;77423296;16946913346
81;1048.69;1080.49;1041.69;1079.98;109478000;17468244508
82;1079.28;1117.25;1076.93;1115.30;186868992;18041455273
83;1114.80;1125.39;1100.55;1117.44;136100000;18077985665
84;1117.27;1176.62;1116.96;1166.72;189454000;18877442096
85;1172.71;1200.39;1131.96;1173.68;330759008;18992415818
86;1170.41;1174.85;1124.59;1143.84;139960992;18511906560
87;1144.27;1167.47;1130.20;1165.20;116486000;18860247630
88;1163.78;1181.98;1163.38;1179.97;131570000;19101427518
89;1180.72;1193.25;1171.82;1179.97;184956000;19103684801
90;1180.04;1222.50;1179.69;1222.50;229056992;19794459608
91;1224.68;1262.13;1215.62;1251.01;368275008;20258543188
92;1250.71;1280.31;1250.71;1274.99;315739008;20649259919
93;1277.43;1279.40;1230.51;1255.15;183270000;20329978338
94;1254.29;1267.29;1238.06;1267.12;134127000;20526235270
95;1267.47;1276.00;1264.60;1272.83;153656992;20620991547
96;1273.21;1275.55;1204.80;1223.54;291256000;19824773912
97;1223.23;1232.16;1148.08;1150.00;332603008;18635275050
98;1150.35;1197.46;1141.23;1188.49;212283008;19261188310
99;1189.36;1270.47;1077.25;1116.72;563795968;18100188612
100;1116.32;1193.83;1116.32;1175.83;283320000;19060468862
101;1176.62;1226.98;1175.36;1221.38;227176000;19801195767
102;1221.78;1237.37;1217.03;1231.92;380276992;19974334865
103;1232.16;1244.81;1220.72;1240.00;245306000;20107761880
104;1240.16;1251.61;1239.75;1249.61;297804992;20265831337
105;1251.33;1257.98;1152.44;1187.81;638568000;19265847025
106;1180.16;1180.16;1099.57;1100.23;706598976;17847435957
107;1099.69;1114.07;957.66;973.82;621302016;15798760668
108;976.73;1069.91;976.73;1036.74;406648000;16821676707
109;1037.24;1063.03;1036.68;1054.23;286529984;17107266418
110;1055.36;1122.43;1055.36;1120.54;337391008;18185299687
111;1120.65;1120.65;1014.21;1049.14;380840992;17028630158
112;1050.05;1058.01;1028.93;1038.59;248540000;16859314109
113;1038.45;1040.47;934.36;937.52;491038016;15220718764
114;936.54;975.76;903.71;972.78;435803008;15794781102
115;974.02;1007.96;954.19;966.72;303668000;15698465531
116;972.05;1046.40;971.98;1045.77;372535008;16983801541
117;1044.58;1064.65;1027.73;1047.15;326332000;17008241726
118;1046.08;1055.13;1015.88;1039.97;298457984;16893415156
119;1042.21;1049.29;1020.04;1026.43;352968992;16675587066
120;1026.64;1074.92;1026.64;1071.79;447287008;17414322808
121;1071.71;1091.72;1061.09;1080.50;289633984;17557597716
122;1080.61;1107.59;1075.45;1102.17;514187008;17911915755
123;1102.95;1151.74;1102.95;1143.81;580444032;18591158323
124;1145.52;1156.44;1120.52;1133.25;436310016;18421262063
125;1134.14;1135.09;1113.63;1124.78;414784000;18285857775
126;1125.81;1188.37;1125.81;1182.68;511222016;19229356147
127;1178.94;1186.58;1163.39;1176.90;317022016;19137747435
128;1172.65;1184.98;1162.58;1175.95;209312000;19124327856
129;1176.57;1197.21;1171.86;1187.87;242343008;19320511927
130;1187.30;1190.34;1179.04;1187.13;215883008;19310642460
131;1187.46;1208.07;1187.46;1205.01;216182000;19604036563
132;1204.81;1207.14;1196.76;1200.37;288702016;19530680104
133;1201.02;1205.89;1156.44;1169.28;351968992;19026699552
134;1170.33;1190.80;1159.79;1167.54;254827008;19000400018
135;1167.30;1188.00;1164.96;1172.52;203559008;19083656460
136;1172.61;1187.22;1172.61;1182.94;183231008;19255408766
137;1183.25;1194.90;1172.65;1193.91;253206000;19436033390
138;1193.77;1217.57;1193.77;1211.67;270524000;19727334977
139;1212.13;1215.51;1205.08;1210.29;288060992;19707045565
140;1211.08;1240.79;1208.41;1229.08;315108000;20015137622
141;1229.42;1235.94;1215.56;1222.05;272167008;19903192286
142;1222.71;1235.56;1208.47;1231.71;249320000;20062753908
143;1231.92;1232.20;1203.94;1207.21;258951008;19665994145
144;1209.63;1250.94;1209.63;1250.15;235806000;20367443800
145;1250.45;1267.58;1249.97;1265.49;242556000;20619704237
146;1265.99;1294.83;1265.93;1281.08;329631008;20876159410
147;1281.88;1319.70;1281.30;1317.73;449196992;21475836448
148;1317.74;1331.28;1292.37;1316.48;527488992;21457669552
149;1317.84;1327.20;1315.21;1321.79;422705984;21547126640
150;1321.87;1347.91;1314.92;1347.89;413115008;21975104909
151;1348.30;1434.32;1348.30;1421.60;713624000;23179524919
152;1421.03;1473.90;1415.69;1452.82;477337984;23691443738
153;1453.78;1492.77;1447.49;1490.09;583795968;24301634925
154;1490.72;1608.91;1490.72;1537.67;933548992;25080858487
155;1540.87;1618.03;1530.31;1555.45;946035968;25373374563
156;1556.81;1578.80;1542.50;1578.80;582529984;25757608890
157;1579.47;1596.72;1559.76;1596.71;1080029952;26053077975
158;1596.92;1723.35;1596.92;1723.35;1340320000;28123369330
159;1723.89;1833.49;1716.30;1755.36;1167920000;28649119972
160;1756.52;1788.44;1719.10;1787.13;915723008;29170965564
161;1780.37;1873.93;1755.35;1848.57;799489984;30176934751
162;1845.76;1856.15;1694.01;1724.24;740984000;28150631936
163;1723.12;1812.99;1651.08;1804.91;579635008;29471223857
164;1800.86;1831.42;1776.62;1808.91;437196000;29540290794
165;1808.44;1812.80;1708.54;1738.43;731529024;28392885375
166;1741.70;1785.94;1686.54;1734.45;959044992;28330874003
167;1726.73;1864.05;1661.91;1839.09;1064729984;30043626195
168;1818.70;1904.48;1807.12;1888.65;894321024;30856574835
169;1897.37;2004.52;1890.25;1987.71;1157289984;32479082015
170;1984.24;2084.73;1974.92;2084.73;961336000;34068630559
171;2067.03;2119.08;2037.50;2041.20;1147859968;33361091114
172;2043.19;2303.90;2017.87;2173.40;1942220032;35525744380
173;2191.56;2320.82;2178.50;2320.42;1378749952;37933704066
174;2321.37;2523.72;2321.37;2443.64;1725379968;39952841999
175;2446.24;2763.71;2285.30;2304.98;2406700032;37690456715
176;2320.89;2573.79;2071.99;2202.42;1763480064;36017660894
177;2196.27;2260.20;1855.83;2038.87;1700480000;33347170525
178;2054.08;2267.34;2054.08;2155.80;1147139968;35264171110
179;2159.43;2307.05;2107.17;2255.61;994625024;36901102917
180;2255.36;2301.96;2124.57;2175.47;1443970048;35594903085
181;2187.19;2311.08;2145.57;2286.41;1544829952;37414813240
182;2288.33;2448.39;2288.33;2407.88;1653180032;39407633763
183;2404.03;2488.55;2373.32;2488.55;1317030016;40732491835
184;2493.72;2581.91;2423.57;2515.35;1514950016;41177190057
185;2547.79;2585.89;2452.54;2511.81;1355120000;41124262595
186;2512.40;2686.81;2510.22;2686.81;1369309952;43994968834
187;2690.84;2999.91;2690.84;2863.20;2089609984;46888622160
188;2869.38;2869.38;2700.56;2732.16;1517709952;44748237218
189;2720.49;2815.30;2670.95;2805.62;1281170048;45957247989
190;2807.44;2901.71;2795.62;2823.81;1348950016;46260465854
191;2828.14;2950.99;2746.55;2947.71;2018889984;48295501718
192;2942.41;2996.60;2840.53;2958.11;1752400000;48471330146
193;2953.22;2997.26;2518.56;2659.63;2569530112;43585351533
194;2680.91;2789.04;2650.38;2717.02;1781200000;44530631894
195;2716.88;2786.83;2412.94;2506.37;1696560000;41082567339
196;2499.58;2534.71;2212.96;2464.58;2026259968;40402259202
197;2469.57;2539.92;2385.15;2518.56;1195190016;41291821423
198;2514.01;2685.19;2484.96;2655.88;1534509952;43548031452
199;2655.35;2662.10;2516.33;2548.29;1178659968;41788418974
200;2549.03;2662.85;2549.03;2589.60;1446840064;42470734800
201;2591.26;2763.45;2589.82;2721.79;1854189952;44643512689
202;2709.43;2772.01;2660.40;2689.10;1626579968;44111929173
203;2691.03;2723.74;2642.36;2705.41;1097939968;44384244937
204;2707.34;2765.17;2706.37;2744.91;961318976;45037797053
205;2738.52;2757.94;2583.19;2608.72;982750016;42807952581
206;2607.25;2682.26;2552.12;2589.41;1161100032;42495001716
207;2590.57;2615.25;2376.29;2478.45;1663280000;40677994354
208;2478.45;2552.45;2332.99;2552.45;1489789952;41897190525
209;2553.03;2603.98;2484.42;2574.79;1183869952;42268942193
210;2567.56;2588.83;2510.48;2539.32;949979008;41690395783
211;2539.24;2559.25;2478.43;2480.84;860273024;40735082695
212;2492.60;2515.27;2419.23;2434.55;779913984;39980058373
213;2436.40;2514.28;2394.84;2506.47;803747008;41167015221
214;2498.56;2595.00;2480.47;2564.06;964112000;42118211083
215;2561.00;2631.59;2559.35;2601.64;985516032;42740618673
216;2602.87;2622.65;2538.55;2601.99;941566016;42751085999
217;2608.10;2616.72;2581.69;2608.56;761956992;42863758795
218;2608.59;2916.14;2498.87;2518.66;917411968;41391217675
219;2520.27;2571.34;2492.31;2571.34;733329984;42262222823
220;2572.61;2635.49;2517.59;2518.44;527856000;41397076604
221;2525.25;2537.16;2321.13;2372.56;1111200000;39005033499
222;2385.89;2413.47;2296.81;2337.79;1329760000;38438497236
223;2332.77;2423.71;2275.14;2398.84;1117410048;39447604438
224;2402.70;2425.22;2340.83;2357.90;835769984;38778935907
225;2360.59;2363.25;2183.22;2233.34;882502976;36734255488
226;2230.12;2231.14;1990.41;1998.86;993608000;32880721300
227;1991.98;2058.77;1843.03;1929.82;1182870016;31748939343
228;1932.62;2230.49;1932.62;2228.41;1201760000;36665393517
229;2233.52;2387.61;2164.77;2318.88;1512450048;38158677672
230;2323.08;2397.17;2260.23;2273.43;1245100032;37415031061
231;2269.89;2900.70;2269.89;2817.60;2249260032;46376428080
232;2838.41;2838.41;2621.85;2667.76;1489449984;43915296559
233;2668.63;2862.42;2657.71;2810.12;1177129984;46264340367
